"","Control_1","Control_2","Control_3","Treated_1","Treated_2","Treated_3"
"Gene_734",57,76,105,57,96,116
"Gene_735",49,71,103,66,88,134
"Gene_736",58,78,103,68,86,120
"Gene_737",46,86,116,66,80,87
"Gene_738",62,81,88,52,103,96
"Gene_739",52,86,122,78,113,126
"Gene_740",59,67,88,66,78,110
"Gene_741",55,77,95,55,92,126
"Gene_742",55,65,109,50,109,117
"Gene_743",39,77,99,62,78,130
"Gene_744",48,78,110,80,85,118
"Gene_745",63,65,142,64,97,138
"Gene_746",63,82,125,86,103,120
"Gene_747",60,72,81,64,101,112
"Gene_748",56,97,108,66,108,136
"Gene_749",50,69,109,62,98,144
"Gene_750",58,69,98,44,85,110
"Gene_751",66,78,125,71,102,132
"Gene_752",53,93,114,62,97,126
"Gene_753",60,78,114,74,113,141
"Gene_754",42,79,107,57,108,135
"Gene_755",59,88,100,59,101,104
"Gene_756",64,84,99,68,96,138
"Gene_757",55,97,122,70,94,106
"Gene_758",57,78,105,54,77,117
"Gene_759",71,68,100,70,86,106
"Gene_760",58,92,103,57,108,129
"Gene_761",57,70,120,57,101,130
"Gene_762",47,70,90,66,94,108
"Gene_763",51,83,91,63,101,120
"Gene_764",55,71,98,65,97,123
"Gene_765",52,70,109,48,97,102
"Gene_766",54,95,94,66,77,123
"Gene_767",55,82,109,65,102,117
"Gene_768",64,89,107,67,88,111
"Gene_769",62,73,83,61,84,120
"Gene_770",53,77,110,56,101,140
"Gene_771",61,77,104,59,88,141
"Gene_772",54,80,110,74,95,106
"Gene_773",56,85,87,49,100,120
"Gene_774",52,92,100,63,95,110
"Gene_775",57,77,110,82,102,136
"Gene_776",62,79,100,66,82,117
"Gene_777",56,84,103,57,76,110
"Gene_778",52,81,110,55,89,123
"Gene_779",57,79,99,55,96,126
"Gene_780",57,84,117,73,104,93
"Gene_781",58,79,99,58,79,134
"Gene_782",46,72,112,56,90,118
"Gene_783",57,79,121,61,82,132
"Gene_784",47,93,107,70,106,128
"Gene_785",62,78,95,77,100,130
"Gene_786",61,72,84,50,86,106
"Gene_787",70,84,95,62,91,123
"Gene_788",57,61,114,70,77,120
"Gene_789",56,82,104,68,112,123
"Gene_790",56,71,107,74,92,111
"Gene_791",56,67,124,58,102,108
"Gene_792",57,72,107,62,108,130
"Gene_793",61,75,120,66,82,117
"Gene_794",60,78,94,63,104,92
"Gene_795",52,78,118,66,120,116
"Gene_796",46,72,110,63,97,106
"Gene_797",58,87,98,70,83,114
"Gene_798",52,76,99,61,91,129
"Gene_799",50,88,90,68,91,122
"Gene_800",55,81,96,64,122,126
"Gene_801",60,93,114,66,100,94
"Gene_802",49,95,86,61,90,135
"Gene_803",48,77,114,62,90,124
"Gene_804",53,83,112,55,100,102
"Gene_805",65,73,108,55,79,117
"Gene_806",51,93,108,67,89,148
"Gene_807",56,81,117,66,94,124
"Gene_808",58,88,121,68,84,106
"Gene_809",52,71,87,66,92,111
"Gene_810",60,62,118,63,90,126
"Gene_811",49,85,109,67,113,144
"Gene_812",49,69,108,62,114,140
"Gene_813",57,102,91,74,91,116
"Gene_814",55,76,110,66,88,96
"Gene_815",62,71,83,59,98,102
"Gene_816",47,65,100,61,102,114
"Gene_817",60,78,125,78,120,128
"Gene_818",55,86,103,63,107,126
"Gene_819",49,87,110,69,85,153
"Gene_820",55,73,107,62,82,111
"Gene_821",55,72,95,65,92,106
"Gene_822",40,87,105,64,96,112
"Gene_823",52,75,104,71,102,114
"Gene_824",71,90,101,57,112,136
"Gene_825",60,75,104,62,89,108
"Gene_826",53,69,101,68,85,112
"Gene_827",55,84,79,73,79,96
"Gene_828",50,87,99,54,108,144
"Gene_829",59,64,113,67,94,138
"Gene_830",55,71,108,70,91,154
"Gene_831",57,87,127,64,106,118
"Gene_832",57,86,109,58,139,114
"Gene_833",48,75,104,65,84,111
"Gene_834",66,75,121,62,100,129
"Gene_835",59,84,90,53,108,114
"Gene_836",50,76,83,63,89,128
"Gene_837",64,86,91,60,92,134
"Gene_838",62,78,108,66,91,135
"Gene_839",46,76,87,60,90,98
"Gene_840",48,73,90,74,115,132
"Gene_841",64,74,95,54,82,140
"Gene_842",58,77,103,68,85,120
"Gene_843",60,83,100,62,115,112
"Gene_844",48,81,100,62,90,142
"Gene_845",62,76,73,68,118,111
"Gene_846",41,67,112,61,107,96
"Gene_847",62,72,95,56,101,129
"Gene_848",48,75,100,68,113,118
"Gene_849",54,76,92,58,109,124
"Gene_850",56,73,100,76,96,118
"Gene_851",67,80,110,77,100,130
"Gene_852",49,84,82,68,82,135
"Gene_853",48,70,103,60,100,108
"Gene_854",54,81,96,59,88,135
"Gene_855",52,87,120,66,82,110
"Gene_856",48,68,105,63,109,129
"Gene_857",59,81,98,62,106,134
"Gene_858",55,83,114,55,88,104
"Gene_859",46,72,101,66,88,135
"Gene_860",55,82,109,60,103,142
"Gene_861",59,86,110,66,124,110
"Gene_862",50,72,95,70,109,123
"Gene_863",62,79,98,54,104,130
"Gene_864",52,95,100,68,89,117
"Gene_865",56,75,113,59,78,111
"Gene_866",60,87,116,64,98,118
"Gene_867",59,84,105,58,96,138
"Gene_868",65,87,108,63,103,111
"Gene_869",52,76,88,71,102,130
"Gene_870",43,85,109,50,65,108
"Gene_871",55,84,125,69,98,142
"Gene_872",50,87,90,58,119,148
"Gene_873",49,86,114,62,107,112
"Gene_874",55,90,86,66,91,112
"Gene_875",66,78,101,63,90,104
"Gene_876",59,95,112,66,110,130
"Gene_877",53,79,108,63,83,118
"Gene_878",48,68,99,48,100,117
"Gene_879",58,76,99,61,115,135
"Gene_880",52,80,133,62,101,114
"Gene_881",50,72,103,59,90,116
"Gene_882",55,75,120,69,85,123
"Gene_883",51,73,90,62,84,130
"Gene_884",48,83,99,60,101,117
"Gene_885",57,80,96,82,97,116
"Gene_886",45,83,120,62,106,154
"Gene_887",55,77,117,84,89,104
"Gene_888",55,82,99,70,103,120
"Gene_889",55,57,101,61,116,105
"Gene_890",46,78,103,63,106,124
"Gene_891",45,79,95,58,107,128
"Gene_892",58,68,101,66,91,116
"Gene_893",55,82,104,70,92,118
"Gene_894",43,86,90,70,82,118
"Gene_895",52,71,78,69,91,132
"Gene_896",50,80,112,72,112,104
"Gene_897",62,77,104,66,108,140
"Gene_898",59,80,88,74,88,128
"Gene_899",54,83,110,68,104,106
"Gene_900",59,83,121,69,88,106
"Gene_901",43,90,107,70,109,140
"Gene_902",47,95,121,55,92,111
"Gene_903",52,68,99,63,96,110
"Gene_904",50,92,100,54,103,122
"Gene_905",48,93,100,62,84,120
"Gene_906",57,71,104,63,108,98
"Gene_907",52,90,101,58,85,118
"Gene_908",68,68,100,66,79,148
"Gene_909",55,78,103,56,89,100
"Gene_910",52,89,107,56,98,110
"Gene_911",51,85,112,61,107,126
"Gene_912",52,74,122,69,91,132
"Gene_913",67,74,73,64,95,105
"Gene_914",62,69,109,56,91,108
"Gene_915",60,78,114,57,86,123
"Gene_916",52,67,82,75,82,123
"Gene_917",55,74,129,69,86,126
"Gene_918",53,68,107,63,92,105
"Gene_919",53,79,124,62,98,114
"Gene_920",59,66,94,83,78,124
"Gene_921",55,81,114,69,89,88
"Gene_922",59,72,92,70,122,110
"Gene_923",50,86,118,65,83,114
"Gene_924",52,68,103,58,109,105
"Gene_925",51,78,112,66,98,112
"Gene_926",66,88,101,74,89,96
"Gene_927",55,83,94,64,71,130
"Gene_928",46,77,108,56,90,114
"Gene_929",54,85,112,70,90,132
"Gene_930",50,80,91,70,101,120
"Gene_931",57,73,122,63,98,126
"Gene_932",51,78,103,50,98,130
"Gene_933",55,75,109,71,98,130
"Gene_934",51,84,86,66,96,134
"Gene_935",57,92,99,66,94,104
"Gene_936",55,83,105,54,95,117
"Gene_937",50,86,96,91,106,116
"Gene_938",50,72,103,68,94,112
"Gene_939",64,72,112,66,80,124
"Gene_940",57,96,96,72,94,120
"Gene_941",54,87,96,65,104,104
"Gene_942",62,94,90,62,95,105
"Gene_943",58,80,104,65,98,134
"Gene_944",57,72,101,67,92,118
"Gene_945",56,88,96,65,113,126
"Gene_946",59,98,113,58,96,114
"Gene_947",51,83,107,61,94,128
"Gene_948",52,79,86,60,94,111
"Gene_949",50,101,103,57,100,100
"Gene_950",60,77,95,67,103,114
"Gene_951",48,81,86,56,80,108
"Gene_952",64,76,100,67,98,120
"Gene_953",49,87,130,72,115,117
"Gene_954",50,78,131,67,77,123
"Gene_955",53,86,92,64,120,134
"Gene_956",60,73,107,54,96,128
"Gene_957",52,70,82,65,86,116
"Gene_958",46,85,83,64,90,138
"Gene_959",51,80,100,74,102,92
"Gene_960",59,73,121,66,90,130
"Gene_961",64,80,73,64,104,117
"Gene_962",52,80,103,67,98,117
"Gene_963",59,74,122,61,79,136
"Gene_964",63,75,112,63,118,126
"Gene_965",50,78,103,65,79,93
"Gene_966",51,73,116,62,88,130
"Gene_967",42,75,104,66,101,104
"Gene_968",41,110,107,62,112,122
"Gene_969",69,73,100,78,96,117
"Gene_970",57,80,109,67,101,102
"Gene_971",50,96,125,86,91,120
"Gene_972",41,81,105,62,108,128
"Gene_973",64,78,108,64,100,120
"Gene_974",50,75,107,54,86,140
"Gene_975",64,86,129,59,85,120
"Gene_976",57,71,104,76,61,104
"Gene_977",64,80,112,58,94,110
"Gene_978",52,79,104,58,92,144
"Gene_979",59,70,125,59,107,116
"Gene_980",62,97,112,66,96,108
"Gene_981",50,75,116,74,97,106
"Gene_982",48,82,79,60,90,108
"Gene_983",57,65,91,72,103,148
"Gene_984",57,84,114,61,107,122
"Gene_985",53,69,101,63,107,120
"Gene_986",55,72,112,67,106,123
"Gene_987",62,79,108,72,88,134
"Gene_988",60,89,81,61,90,117
"Gene_989",54,65,95,71,86,106
"Gene_990",46,69,113,67,80,117
"Gene_991",59,78,99,70,107,116
"Gene_992",61,75,96,54,91,117
"Gene_993",51,88,103,55,84,106
"Gene_994",42,84,90,65,115,122
"Gene_995",46,78,101,64,102,110
"Gene_996",61,72,107,59,82,130
"Gene_997",49,78,75,80,82,81
"Gene_998",70,80,95,64,113,117
"Gene_999",52,77,96,54,103,116
"Gene_1000",50,80,90,72,98,123
"Gene_1001",50,84,107,64,101,117
"Gene_1002",44,88,95,72,100,111
"Gene_1003",46,77,116,63,104,140
"Gene_1004",54,84,101,64,79,118
"Gene_1005",55,90,96,65,102,141
"Gene_1006",50,72,82,60,95,152
"Gene_1007",51,86,84,68,106,105
"Gene_1008",52,74,127,62,94,114
"Gene_1009",50,81,134,64,91,141
"Gene_1010",59,85,96,54,112,122
"Gene_1011",52,103,134,62,94,111
"Gene_1012",59,74,105,63,106,114
"Gene_1013",64,75,126,75,77,128
"Gene_1014",58,73,108,62,98,84
"Gene_1015",62,79,113,78,101,116
"Gene_1016",59,68,103,64,98,124
"Gene_1017",58,73,118,64,100,123
"Gene_1018",58,70,101,67,89,117
"Gene_1019",64,85,104,64,107,126
"Gene_1020",50,71,92,57,102,108
"Gene_1021",51,96,94,65,119,114
"Gene_1022",55,81,105,61,97,120
"Gene_1023",56,73,110,64,78,129
"Gene_1024",60,68,114,58,104,123
"Gene_1025",60,91,105,70,86,148
"Gene_1026",54,79,125,77,90,117
"Gene_1027",47,90,105,62,91,136
"Gene_1028",62,90,100,50,95,136
"Gene_1029",58,92,103,69,96,129
"Gene_1030",64,97,113,61,85,104
"Gene_1031",55,79,84,66,94,148
"Gene_1032",63,83,90,61,95,124
"Gene_1033",61,105,113,63,96,116
"Gene_1034",59,74,107,74,80,112
"Gene_1035",58,87,107,66,94,114
"Gene_1036",54,89,77,68,103,114
"Gene_1037",50,79,135,52,98,112
"Gene_1038",56,69,94,73,96,111
"Gene_1039",62,79,108,44,122,124
"Gene_1040",55,82,107,54,107,112
"Gene_1041",55,73,114,70,97,118
"Gene_1042",52,80,91,58,92,130
"Gene_1043",55,79,94,69,91,104
"Gene_1044",62,73,122,69,104,122
"Gene_1045",52,97,109,61,102,112
"Gene_1046",55,84,113,59,100,94
"Gene_1047",54,67,130,58,80,105
"Gene_1048",74,75,88,56,103,126
"Gene_1049",59,81,96,64,92,128
"Gene_1050",66,77,96,54,100,105
"Gene_1051",55,73,99,59,94,136
"Gene_1052",65,88,96,58,100,126
"Gene_1053",56,79,100,58,102,108
"Gene_1054",57,89,116,58,108,123
"Gene_1055",57,73,122,59,95,114
"Gene_1056",50,59,99,64,82,148
"Gene_1057",60,78,100,70,106,111
"Gene_1058",52,73,86,67,102,122
"Gene_1059",54,68,91,46,112,144
"Gene_1060",50,90,112,57,91,114
"Gene_1061",58,76,110,58,96,124
"Gene_1062",59,78,108,55,90,117
"Gene_1063",48,83,103,68,83,111
"Gene_1064",59,74,105,74,96,153
"Gene_1065",57,83,94,72,98,104
"Gene_1066",65,89,82,68,89,123
"Gene_1067",49,70,103,60,110,116
"Gene_1068",60,92,135,65,88,98
"Gene_1069",51,100,98,63,106,135
"Gene_1070",45,79,121,58,72,108
"Gene_1071",51,86,96,88,109,123
"Gene_1072",48,77,84,62,89,124
"Gene_1073",58,62,87,66,102,124
"Gene_1074",52,89,110,55,95,123
"Gene_1075",50,70,91,57,97,124
"Gene_1076",77,80,103,66,82,118
"Gene_1077",57,89,121,62,102,147
"Gene_1078",61,88,108,49,98,118
"Gene_1079",63,86,100,60,94,128
"Gene_1080",51,96,79,58,109,135
"Gene_1081",59,70,110,66,106,114
"Gene_1082",58,66,94,62,102,100
"Gene_1083",52,74,100,69,94,120
"Gene_1084",54,69,95,78,100,111
"Gene_1085",56,87,112,65,94,140
"Gene_1086",48,75,110,62,95,114
"Gene_1087",61,82,109,69,91,86
"Gene_1088",47,87,99,64,86,126
"Gene_1089",62,78,90,62,94,114
"Gene_1090",55,87,120,75,107,135
"Gene_1091",53,77,117,72,85,84
"Gene_1092",52,67,84,68,89,134
"Gene_1093",65,71,117,60,98,135
"Gene_1094",70,92,87,59,108,124
"Gene_1095",52,96,98,77,104,108
"Gene_1096",58,82,100,62,86,120
"Gene_1097",50,79,135,55,85,120
"Gene_1098",69,56,109,70,95,126
"Gene_1099",59,56,125,55,74,120
"Gene_1100",57,79,124,65,96,146
"Gene_1101",64,68,92,62,106,128
"Gene_1102",62,75,94,60,91,108
"Gene_1103",55,71,127,52,84,132
"Gene_1104",55,86,114,62,101,128
"Gene_1105",53,63,100,66,94,141
"Gene_1106",51,78,120,81,113,124
"Gene_1107",57,92,96,65,113,114
"Gene_1108",48,72,96,78,95,136
"Gene_1109",63,70,122,66,102,111
"Gene_1110",60,76,100,70,106,124
"Gene_1111",48,87,118,58,79,90
"Gene_1112",60,91,101,57,94,147
"Gene_1113",55,79,100,59,104,118
"Gene_1114",55,94,104,68,116,126
"Gene_1115",60,96,95,58,96,141
"Gene_1116",62,84,126,59,78,128
"Gene_1117",78,86,105,66,84,170
"Gene_1118",59,73,90,60,95,132
"Gene_1119",48,68,107,55,107,105
"Gene_1120",55,70,104,70,109,116
"Gene_1121",64,52,104,50,109,105
"Gene_1122",55,73,118,54,96,126
"Gene_1123",52,74,104,69,91,132
"Gene_1124",58,86,112,62,94,138
"Gene_1125",59,85,105,54,84,132
"Gene_1126",59,82,98,70,72,110
"Gene_1127",43,66,110,58,102,114
"Gene_1128",54,88,114,63,92,138
"Gene_1129",60,68,88,61,106,128
"Gene_1130",48,78,92,56,116,122
"Gene_1131",59,88,120,58,116,114
"Gene_1132",68,86,122,74,130,114
"Gene_1133",57,82,90,61,101,120
"Gene_1134",41,71,99,66,94,117
"Gene_1135",48,72,108,66,86,116
"Gene_1136",55,77,108,55,88,136
"Gene_1137",54,77,112,72,94,117
"Gene_1138",52,78,100,72,119,118
"Gene_1139",57,91,95,73,106,148
"Gene_1140",47,75,98,68,90,126
"Gene_1141",53,79,72,66,94,132
"Gene_1142",66,82,94,53,104,108
"Gene_1143",54,83,124,53,114,124
"Gene_1144",64,68,108,62,90,82
"Gene_1145",45,100,103,70,97,129
"Gene_1146",59,63,108,50,104,120
"Gene_1147",54,80,95,70,97,140
"Gene_1148",48,88,101,74,96,120
"Gene_1149",50,69,103,66,110,106
"Gene_1150",57,77,107,66,89,123
"Gene_1151",59,85,105,66,95,134
"Gene_1152",55,70,110,78,102,130
"Gene_1153",62,95,104,61,103,135
"Gene_1154",59,89,114,64,103,114
"Gene_1155",55,80,107,66,103,110
"Gene_1156",62,62,107,70,82,141
"Gene_1157",57,95,95,58,84,114
"Gene_1158",59,93,95,67,95,123
"Gene_1159",52,73,114,68,89,132
"Gene_1160",52,80,107,66,95,94
"Gene_1161",61,63,107,64,106,108
"Gene_1162",55,64,101,78,114,144
"Gene_1163",54,95,100,74,97,134
"Gene_1164",50,77,104,70,80,111
"Gene_1165",59,89,103,59,98,128
"Gene_1166",58,72,94,67,103,114
"Gene_1167",38,88,124,59,95,123
"Gene_1168",48,88,88,57,101,116
"Gene_1169",59,82,109,64,91,108
"Gene_1170",52,84,99,62,91,111
"Gene_1171",66,82,109,55,97,114
"Gene_1172",59,83,110,59,92,106
"Gene_1173",57,81,98,62,104,136
"Gene_1174",64,99,120,62,96,114
"Gene_1175",45,79,78,72,112,129
"Gene_1176",48,64,113,75,106,111
"Gene_1177",50,85,104,60,86,98
"Gene_1178",59,94,117,63,76,120
"Gene_1179",55,79,92,63,100,99
"Gene_1180",67,77,116,78,79,146
"Gene_1181",59,74,95,59,94,124
"Gene_1182",61,80,129,59,101,132
"Gene_1183",64,89,105,66,91,153
"Gene_1184",52,67,77,66,102,117
"Gene_1185",55,73,112,76,92,118
"Gene_1186",52,84,109,76,92,122
"Gene_1187",60,85,92,70,89,118
"Gene_1188",58,78,95,47,88,135
"Gene_1189",50,82,122,54,116,135
"Gene_1190",51,69,96,66,104,111
"Gene_1191",59,81,112,64,96,112
"Gene_1192",58,86,105,67,113,152
"Gene_1193",55,79,105,74,102,136
"Gene_1194",55,67,101,64,98,96
"Gene_1195",60,87,103,66,108,129
"Gene_1196",57,63,114,56,108,110
"Gene_1197",50,96,109,62,88,112
"Gene_1198",62,82,99,68,84,135
"Gene_1199",46,86,92,73,97,117
"Gene_1200",55,89,114,64,112,128
"Gene_1201",69,64,96,66,86,120
"Gene_1202",50,63,90,66,97,144
"Gene_1203",44,87,107,66,68,118
"Gene_1204",47,75,110,68,101,102
"Gene_1205",59,88,113,58,100,106
"Gene_1206",58,82,83,66,100,159
"Gene_1207",63,79,104,65,120,136
"Gene_1208",51,81,109,77,90,128
"Gene_1209",54,79,91,54,90,136
"Gene_1210",56,85,82,70,88,108
"Gene_1211",69,81,110,62,110,108
"Gene_1212",62,93,124,86,90,126
"Gene_1213",60,76,110,65,89,144
"Gene_1214",49,87,114,72,86,114
"Gene_1215",65,78,122,73,85,114
"Gene_1216",52,75,113,62,98,141
"Gene_1217",57,81,109,62,72,116
"Gene_1218",61,76,92,63,103,99
"Gene_1219",62,64,113,61,97,105
"Gene_1220",62,78,124,64,89,123
"Gene_1221",55,80,98,67,107,112
"Gene_1222",50,73,90,70,106,141
"Gene_1223",57,78,98,74,88,114
"Gene_1224",58,69,105,66,107,134
"Gene_1225",55,60,110,54,86,136
"Gene_1226",62,92,100,58,102,111
"Gene_1227",58,81,129,55,82,130
"Gene_1228",65,68,108,58,88,110
"Gene_1229",54,78,118,65,122,140
"Gene_1230",53,77,95,65,103,117
"Gene_1231",63,90,104,70,108,116
"Gene_1232",54,81,95,70,106,118
"Gene_1233",55,75,86,65,79,111
"Gene_1234",50,74,105,54,90,118
"Gene_1235",55,78,121,64,86,128
"Gene_1236",53,87,99,61,86,138
"Gene_1237",72,95,126,70,88,117
"Gene_1238",54,77,108,55,88,120
"Gene_1239",61,71,120,60,96,123
"Gene_1240",50,78,112,66,89,122
"Gene_1241",47,69,112,70,119,124
"Gene_1242",59,69,99,54,114,130
"Gene_1243",70,89,100,67,116,126
"Gene_1244",49,82,109,53,98,104
"Gene_1245",55,78,108,57,71,147
"Gene_1246",54,89,110,65,108,99
"Gene_1247",55,79,114,71,104,99
"Gene_1248",61,90,113,58,94,130
"Gene_1249",53,76,118,60,96,111
"Gene_1250",57,99,96,70,91,112
"Gene_1251",60,81,104,65,85,105
"Gene_1252",62,84,103,66,94,123
"Gene_1253",57,86,95,58,110,114
"Gene_1254",55,72,101,65,101,114
"Gene_1255",64,86,88,63,115,129
"Gene_1256",57,86,100,58,94,136
"Gene_1257",66,80,103,60,101,150
"Gene_1258",55,91,91,59,101,126
"Gene_1259",59,75,101,59,88,114
"Gene_1260",46,75,124,61,90,120
"Gene_1261",50,66,87,49,84,111
"Gene_1262",51,65,96,54,101,123
"Gene_1263",56,80,99,66,92,124
"Gene_1264",48,69,98,58,80,124
"Gene_1265",48,84,107,57,90,124
"Gene_1266",59,85,91,58,90,117
"Gene_1267",69,72,112,64,102,132
"Gene_1268",66,94,103,66,85,130
"Gene_1269",57,68,88,64,98,132
"Gene_1270",53,70,98,64,77,111
"Gene_1271",56,84,92,69,92,129
"Gene_1272",59,81,116,74,98,128
"Gene_1273",52,57,94,58,103,130
"Gene_1274",59,79,122,49,110,116
"Gene_1275",50,68,91,72,106,130
"Gene_1276",54,82,94,53,102,132
"Gene_1277",58,95,143,66,71,111
"Gene_1278",53,87,118,63,108,123
"Gene_1279",51,77,109,72,96,130
"Gene_1280",64,77,100,66,122,114
"Gene_1281",56,69,110,70,84,158
"Gene_1282",62,86,98,61,98,122
"Gene_1283",51,59,96,62,92,130
"Gene_1284",55,84,96,70,104,98
"Gene_1285",52,80,117,68,96,134
"Gene_1286",54,75,104,74,97,128
"Gene_1287",47,60,95,66,102,130
"Gene_1288",56,83,108,74,83,105
"Gene_1289",50,90,88,58,106,118
"Gene_1290",51,75,103,65,110,138
"Gene_1291",70,83,110,66,79,118
"Gene_1292",42,82,95,70,86,126
"Gene_1293",53,79,107,70,78,130
"Gene_1294",48,80,99,62,114,122
"Gene_1295",60,97,107,55,91,108
"Gene_1296",59,89,105,72,96,112
"Gene_1297",64,98,112,67,94,122
"Gene_1298",60,76,113,66,80,110
"Gene_1299",56,75,113,58,102,111
"Gene_1300",50,86,108,52,114,98
"Gene_1301",59,95,113,50,98,112
"Gene_1302",52,83,90,69,94,129
"Gene_1303",57,77,96,59,98,111
"Gene_1304",57,103,95,74,90,132
"Gene_1305",45,86,100,62,104,124
"Gene_1306",62,77,133,67,109,99
"Gene_1307",66,81,77,58,82,130
"Gene_1308",62,76,91,53,107,117
"Gene_1309",63,70,94,52,97,140
"Gene_1310",62,84,113,62,101,112
"Gene_1311",59,78,114,66,106,98
"Gene_1312",52,77,100,67,89,112
"Gene_1313",57,67,105,62,104,120
"Gene_1314",53,86,92,62,110,123
"Gene_1315",62,79,74,57,91,122
"Gene_1316",62,71,120,60,100,128
"Gene_1317",56,98,113,54,106,132
"Gene_1318",52,82,84,72,95,99
"Gene_1319",64,75,112,52,109,138
"Gene_1320",62,93,118,78,85,116
"Gene_1321",57,89,110,62,102,124
"Gene_1322",59,84,118,72,115,102
"Gene_1323",39,75,107,55,89,114
"Gene_1324",66,74,110,56,79,122
"Gene_1325",54,78,108,49,91,116
"Gene_1326",56,90,92,73,84,114
"Gene_1327",51,81,114,62,91,126
"Gene_1328",48,81,96,61,90,112
"Gene_1329",52,76,109,70,113,105
"Gene_1330",53,93,109,67,106,124
"Gene_1331",52,79,107,71,106,104
"Gene_1332",50,69,110,61,106,126
"Gene_1333",55,89,110,68,98,102
"Gene_1334",49,77,90,66,104,124
"Gene_1335",66,83,86,68,92,123
"Gene_1336",64,66,100,73,92,130
"Gene_1337",62,81,87,60,106,128
"Gene_1338",52,103,84,66,96,134
"Gene_1339",48,62,100,73,101,123
"Gene_1340",62,81,118,56,90,96
"Gene_1341",54,82,95,58,94,117
"Gene_1342",52,72,129,63,98,112
"Gene_1343",64,79,125,65,90,108
"Gene_1344",59,70,114,62,88,120
"Gene_1345",50,68,92,56,104,117
"Gene_1346",60,80,87,67,100,117
"Gene_1347",62,81,74,63,103,134
"Gene_1348",52,93,105,70,91,110
"Gene_1349",43,73,100,76,86,172
"Gene_1350",55,85,104,61,89,147
"Gene_1351",50,62,134,64,84,108
"Gene_1352",46,81,98,70,103,147
"Gene_1353",56,82,99,71,80,106
"Gene_1354",48,69,104,78,76,128
"Gene_1355",62,76,104,58,88,118
"Gene_1356",58,73,92,66,98,122
"Gene_1357",66,89,109,65,106,122
"Gene_1358",52,69,103,64,122,94
"Gene_1359",55,83,129,69,94,129
"Gene_1360",60,73,88,67,116,117
"Gene_1361",61,83,96,65,109,144
"Gene_1362",55,88,95,65,110,120
"Gene_1363",46,69,98,65,119,110
"Gene_1364",52,62,103,69,88,118
"Gene_1365",58,75,113,66,86,116
"Gene_1366",57,94,96,57,104,134
"Gene_1367",55,71,104,67,101,111
"Gene_1368",62,86,100,65,90,92
"Gene_1369",55,70,114,64,115,132
"Gene_1370",55,89,120,66,101,118
"Gene_1371",59,79,114,61,95,130
"Gene_1372",58,97,79,66,92,130
"Gene_1373",66,74,117,62,86,120
"Gene_1374",64,80,139,73,86,120
"Gene_1375",62,100,95,60,85,111
"Gene_1376",57,78,92,69,84,116
"Gene_1377",52,77,94,62,74,118
"Gene_1378",48,77,94,62,102,120
"Gene_1379",50,75,116,54,100,138
"Gene_1380",59,64,118,77,96,142
"Gene_1381",52,86,117,62,78,134
"Gene_1382",64,79,126,66,91,118
"Gene_1383",57,77,101,66,104,124
"Gene_1384",56,85,113,70,89,110
"Gene_1385",51,88,104,54,104,123
"Gene_1386",36,83,99,73,92,129
"Gene_1387",55,74,100,70,84,120
"Gene_1388",52,84,108,70,101,130
"Gene_1389",55,63,91,58,109,134
"Gene_1390",64,76,101,62,112,126
"Gene_1391",62,78,101,63,115,134
"Gene_1392",64,69,112,72,114,136
"Gene_1393",49,97,103,81,101,106
"Gene_1394",56,72,127,60,90,130
"Gene_1395",50,98,100,58,91,90
"Gene_1396",57,67,88,62,98,106
"Gene_1397",53,92,101,66,88,120
"Gene_1398",57,86,96,74,91,122
"Gene_1399",51,81,99,61,97,141
"Gene_1400",56,70,91,65,98,134
"Gene_1401",57,90,124,61,88,105
"Gene_1402",57,83,92,54,98,111
"Gene_1403",53,88,103,64,98,102
"Gene_1404",53,64,92,57,83,117
"Gene_1405",62,82,84,66,80,130
"Gene_1406",54,77,105,67,103,114
"Gene_1407",56,83,124,63,98,111
"Gene_1408",66,75,104,63,104,120
"Gene_1409",46,71,118,66,96,123
"Gene_1410",64,84,107,73,98,106
"Gene_1411",55,88,90,53,94,105
"Gene_1412",50,79,112,68,83,123
"Gene_1413",61,77,120,70,100,93
"Gene_1414",54,79,105,70,85,142
"Gene_1415",53,90,120,68,102,124
"Gene_1416",55,66,99,65,113,114
"Gene_1417",52,91,104,68,89,124
"Gene_1418",52,72,100,75,116,112
"Gene_1419",61,78,103,64,88,136
"Gene_1420",50,111,90,76,92,110
"Gene_1421",62,63,83,62,100,122
"Gene_1422",61,77,82,51,83,130
"Gene_1423",58,80,114,69,86,128
"Gene_1424",46,81,98,61,101,105
"Gene_1425",61,86,101,62,107,130
"Gene_1426",55,71,101,66,92,106
"Gene_1427",48,89,96,60,88,116
"Gene_1428",62,70,92,53,106,123
"Gene_1429",46,83,79,68,98,142
"Gene_1430",57,84,94,61,95,128
"Gene_1431",52,71,103,58,82,104
"Gene_1432",50,87,124,75,89,124
"Gene_1433",46,67,103,58,94,112
"Gene_1434",55,72,101,66,107,116
"Gene_1435",59,79,86,74,68,129
"Gene_1436",62,72,99,75,127,114
"Gene_1437",62,67,120,63,97,105
"Gene_1438",59,96,84,62,102,102
"Gene_1439",54,92,118,65,85,116
"Gene_1440",55,71,94,54,97,94
"Gene_1441",51,81,105,75,107,96
"Gene_1442",56,75,95,63,114,120
"Gene_1443",68,83,100,62,95,106
"Gene_1444",60,87,116,67,100,105
